T/K;Cp;S
100;33.258;149.5
200;33.473;172.577
250;34.216;180.113
298.15;35.639;186.251
300;35.708;186.472
350;37.874;192.131
400;40.5;197.356
450;43.374;202.291
500;46.342;207.014
600;52.227;215.987
700;57.794;224.461
800;62.932;232.518
900;67.601;240.205
1000;71.795;247.549
1100;75.529;254.57
1200;78.833;261.287
1300;81.744;267.714
1400;84.305;273.868
1500;86.556;279.763
1600;88.537;285.413
1700;90.283;290.834
1800;91.824;296.039
1900;93.188;301.041
2000;94.399;305.853
;;
